municipio,hospital,fecha,nombre,periodo,zo,ubicación,Coordedas Geograficas,,tipobom,operador de la bomba (movil),idbom,hora de inicio,hora de filización,tiempo de muestreo (min),influencia,hbomba,distancia del paciente (m),edad,sexo,ventilacion mecanica,sintomatologia,signos,patologia base,frecuencia cardiaca,frecuencia respiratoria,saturacion de oxigeno (%),tension arterial,tratamiento farmologico,PM1,PM2,parti,HCOH,TVOC,AQI,T,H,viento,caudal,tipo de filtro,filtro,vt,rotulo de la muestra,pcr,v_t,aire_acond,ventiladores,vehiculos,polvo
Sahagun,San Juan,19/02/2021,Exterior,2,no critica,EXT,8.955.283,-7.545.075,Fija,,bom4,8:11,11:11,180,,1.5,,,,,,,,,,,,,11.5,19.7,1625,0.02,0.09,43,35,55,8.6,4,Nitrocelulosa,0.45,,SA4,0,si,no,no,si,si
Sahagun,San Juan,19/02/2021,Exterior,2,no critica,EXT,8.955.283,-7.545.075,Fija,,bom4,8:11,11:11,180,,1.5,,,,,,,,,,,,,15.2,15.9,1511,0.02,0.09,43,38,49,8.6,4,Nitrocelulosa,0.45,,SA4,0,si,no,no,si,si
Sahagun,San Juan,19/02/2021,Exterior,2,no critica,EXT,8.955.283,-7.545.075,Fija,,bom4,8:11,11:11,180,,1.5,,,,,,,,,,,,,9.3,15.9,1251,0.02,0.09,36,39,47,8.6,4,Nitrocelulosa,0.45,,SA4,0,si,no,no,si,si
Sahagun,San Juan,19/02/2021,Exterior,2,no critica,EXT,8.955.283,-7.545.075,Fija,,bom4,8:11,11:11,180,,1.5,,,,,,,,,,,,,9.5,14.7,1355,0.02,0.09,37,38,48,8.6,4,Nitrocelulosa,0.45,,SA4,0,si,no,no,si,si
Sahagun,San Juan,19/02/2021,Exterior,2,no critica,EXT,8.955.283,-7.545.075,Fija,,bom4,8:11,11:11,180,,1.5,,,,,,,,,,,,,8.8,15.1,1391,0.02,0.09,35,40,42,8.6,4,Nitrocelulosa,0.45,,SA4,0,si,no,no,si,si
Tierralta,San José,01/03/2021,Exterior,2,no critica,EXT,8.177.156,-76.056.314,Fija,,bom4,9:12,12:12,180,,0.96,,,,,,,,,,,,,11.1,19,1493,0.02,0.09,46,36,52,,4,Nitrocelulosa,0.45,,TA4,0,si,no,no,si,si
Tierralta,San José,01/03/2021,Exterior,2,no critica,EXT,8.177.156,-76.056.314,Fija,,bom4,9:12,12:12,180,,0.96,,,,,,,,,,,,,10.5,17.9,1703,0.02,0.09,43,42,41,,4,Nitrocelulosa,0.45,,TA4,0,si,no,no,si,si
Tierralta,San José,01/03/2021,Exterior,2,no critica,EXT,8.177.156,-76.056.314,Fija,,bom4,9:12,12:12,180,,0.96,,,,,,,,,,,,,8,13.9,1829,0.02,0.09,53,45,37,,4,Nitrocelulosa,0.45,,TA4,0,si,no,no,si,si
Tierralta,San José,01/03/2021,Exterior,2,no critica,EXT,8.177.156,-76.056.314,Fija,,bom4,9:12,12:12,180,,0.96,,,,,,,,,,,,,11.4,20.1,2003,0.02,0.09,51,45,34,,4,Nitrocelulosa,0.45,,TA4,0,si,no,no,si,si
Tierralta,San José,01/03/2021,Exterior,2,no critica,EXT,8.177.156,-76.056.314,Fija,,bom4,9:12,12:12,180,,0.96,,,,,,,,,,,,,8.7,16.5,1721,0.02,0.09,38,45,34,,4,Nitrocelulosa,0.45,,TA4,0,si,no,no,si,si
Tierralta,San José,01/03/2021,Exterior,2,no critica,EXT,8.177.156,-76.056.314,Fija,,bom4,9:12,12:12,180,,0.96,,,,,,,,,,,,,11.2,19.5,1709,0.02,0.09,48,45,35,,4,Nitrocelulosa,0.45,,TA4,0,si,no,no,si,si
